,C,solver,penalty,max_iter,score
114,10.0,sag,l2,500,0.9748953974895398
115,10.0,sag,l2,1000,0.9748953974895398
116,10.0,sag,,100,0.9748953974895398
117,10.0,sag,,200,0.9748953974895398
118,10.0,sag,,500,0.9748953974895398
119,10.0,sag,,1000,0.9748953974895398
120,20.0,lbfgs,l2,100,0.9748953974895398
121,20.0,lbfgs,l2,200,0.9748953974895398
122,20.0,lbfgs,l2,500,0.9748953974895398
123,20.0,lbfgs,l2,1000,0.9748953974895398
124,20.0,lbfgs,,100,0.9748953974895398
125,20.0,lbfgs,,200,0.9748953974895398
126,20.0,lbfgs,,500,0.9748953974895398
127,20.0,lbfgs,,1000,0.9748953974895398
128,20.0,liblinear,l1,100,0.9748953974895398
129,20.0,liblinear,l1,200,0.9748953974895398
130,20.0,liblinear,l1,500,0.9748953974895398
131,20.0,liblinear,l1,1000,0.9748953974895398
132,20.0,liblinear,l2,100,0.9748953974895398
133,20.0,liblinear,l2,200,0.9748953974895398
134,20.0,liblinear,l2,500,0.9748953974895398
135,20.0,liblinear,l2,1000,0.9748953974895398
136,20.0,sag,l2,100,0.9748953974895398
137,20.0,sag,l2,200,0.9748953974895398
138,20.0,sag,l2,500,0.9748953974895398
139,20.0,sag,l2,1000,0.9748953974895398
140,20.0,sag,,100,0.9748953974895398
141,20.0,sag,,200,0.9748953974895398
142,20.0,sag,,500,0.9748953974895398
143,20.0,sag,,1000,0.9748953974895398
