,alpha,fit_prior,score
0,0.1,True,0.9820295983086681
1,0.1,False,0.9802677942212826
2,0.25,True,0.9795630725863284
3,0.25,False,0.9758632840028189
4,0.5,True,0.9756871035940803
5,0.5,False,0.9737491190979564
6,0.75,True,0.9744538407329105
7,0.75,False,0.9716349541930938
8,1.0,True,0.9732205778717407
9,1.0,False,0.9700493305144468
10,2.0,True,0.9696969696969697
11,2.0,False,0.9654686398872445
12,5.0,True,0.9630021141649049
13,5.0,False,0.9580690627202255
