,nb,lr,svm
f1_score_macro,0.6926658121857886,0.6968695971330122,0.7087780645568318
f1_score_micro,0.7010526315789474,0.7042105263157895,0.72
accuracy,0.7010526315789474,0.7042105263157895,0.72
